q , F , sin2i , Teff , logg , a1c 
10.00 , 0.5 , 0.2 , 16700 , 4.0722 , 0.00024891 
10.00 , 0.7 , 0.2 , 16700 , 4.0722 , 0.00082999 
10.00 , 0.9 , 0.2 , 16700 , 4.0722 , 0.00144994 
10.00 , 0.3 , 0.4 , 16700 , 4.0722 , 0.00003183 
10.00 , 0.5 , 0.4 , 16700 , 4.0722 , 0.00022621 
10.00 , 0.7 , 0.4 , 16700 , 4.0722 , 0.00067961 
10.00 , 0.9 , 0.4 , 16700 , 4.0722 , 0.00049772 
10.00 , 0.3 , 0.6 , 16700 , 4.0722 , 0.00001905 
10.00 , 0.5 , 0.6 , 16700 , 4.0722 , 0.00012188 
10.00 , 0.7 , 0.6 , 16700 , 4.0722 , 0.00021039 
10.00 , 0.9 , 0.6 , 16700 , 4.0722 , -0.00143990 
10.00 , 0.3 , 0.8 , 16700 , 4.0722 , -0.00000106 
10.00 , 0.5 , 0.8 , 16700 , 4.0722 , -0.00003984 
10.00 , 0.7 , 0.8 , 16700 , 4.0722 , -0.00049287 
10.00 , 0.9 , 0.8 , 16700 , 4.0722 , -0.00417078 
10.00 , 0.3 , 1.0 , 16700 , 4.0722 , -0.00002689 
10.00 , 0.5 , 1.0 , 16700 , 4.0722 , -0.00024792 
10.00 , 0.7 , 1.0 , 16700 , 4.0722 , -0.00139221 
10.00 , 0.9 , 1.0 , 16700 , 4.0722 , -0.00759696 
